DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
1 de set de 97;1997-09-01;10;108,549;25,395;5,3486;86,703;383,575
2 de set de 97;1997-09-02;13;120,765;35,97;6,82;86,957;399,56
3 de set de 97;1997-09-03;14;132,792;39,9367;5,6371;79,442;252,735
4 de set de 97;1997-09-04;14;152,976;28,395;7,1871;73,697;300,632
5 de set de 97;1997-09-05;14;97,191;18,844;4,9233;47,175;191,612
6 de set de 97;1997-09-06;13;45,955;9,376;3,8514;45,505;90,858
7 de set de 97;1997-09-07;17;59,144;8,1;2,6886;71,523;110,707
8 de set de 97;1997-09-08;8;103,65;26,36;8,3429;74,543;191,117
9 de set de 97;1997-09-09;13;150,489;30,812;9,5586;85,958;188,527
10 de set de 97;1997-09-10;10;50,485;7,3575;5,9014;35,563;118,914
11 de set de 97;1997-09-11;9;34,41;10,33;1,7943;24,078;72,39
12 de set de 97;1997-09-12;14;70,961;18,494;4,1833;60,018;133,568
13 de set de 97;1997-09-13;13;113,717;15,4683;4,3357;60,667;125,287
14 de set de 97;1997-09-14;11;49,659;6,39;3,7429;63,622;80,158
15 de set de 97;1997-09-15;10;31,075;6,436;2,5343;19,893;84,325
16 de set de 97;1997-09-16;8;49,359;14,002;1,8157;37,497;74,68
17 de set de 97;1997-09-17;15;57,112;18,772;2,97;123,975;180,442
18 de set de 97;1997-09-18;10;50,922;13,112;2,4967;37,078;77,163
19 de set de 97;1997-09-19;10;58,824;13,306;2,4567;78,942;120,113
20 de set de 97;1997-09-20;17;49,925;6,02;2,7367;36,168;137,544
21 de set de 97;1997-09-21;9;26,588;4,234;2,824;39,94;78,437
22 de set de 97;1997-09-22;10;31,229;4,078;2,556;35,603;74,465
23 de set de 97;1997-09-23;9;51,678;12,9433;2,866;39,02;104,32
24 de set de 97;1997-09-24;13;65,747;16,068;4,2;78,778;148,682
25 de set de 97;1997-09-25;9;63,89;11,965;3,99;59,982;144,078
26 de set de 97;1997-09-26;8;30,816;8,8033;2,66;18,468;75,146
27 de set de 97;1997-09-27;13;31,636;8,5733;2,4217;28,925;62,04
28 de set de 97;1997-09-28;11;43,714;9,7667;2,9633;64,836;99,775
29 de set de 97;1997-09-29;18;50,599;10,452;3,6467;42,1;189,3
30 de set de 97;1997-09-30;17;42,955;10,852;2,8333;44,7;114,677
